Date,Region,Magnitude,Depth,Latitude,Longitude
31/12/2023,Afghanistan-Tajikistan Border Region,3.6,170,36.52,71.53
31/12/2023,Afghanistan-Tajikistan Border Region,3.7,190,37.2,71.86
31/12/2023,Northern India,4.5,12,25.44,85.31
31/12/2023,Afghanistan-Tajikistan Border Region,3.4,110,36.83,71.09
31/12/2023,Afghanistan-Tajikistan Border Region,3.5,177,36.42,71.32
31/12/2023,Southeastern Afghanistan,3.8,80,34.62,69.99
31/12/2023,Westren Nei Mongol China,4.8,38,36.78,104.04
31/12/2023,"Java, Indonesia",4.7,19,-7.15,107.96
31/12/2023,Leeward Islands,4.7,35,15.17,-60.24
31/12/2023,"Java, Indonesia",5.0,12,-7.94,107.58
31/12/2023,South Sandwich Islands Region,5.1,73,57.21,-25.58
30/12/2023,"Eastern New Guinea Region, P.N.G.",5.3,16,-6.09,147.12
30/12/2023,NW Balkan Region,4.9,31,44.37,17.88
30/12/2023,"Irian Jaya , Indonesia",6.2,12,-3.01,139.31
30/12/2023,Tonga Islands,4.5,13,-15.14,-173.77
30/12/2023,Solomon Islands,5.4,134,-6.44,154.76
30/12/2023,Santa Cruz Islands,5.1,159,-11.5,166.38
30/12/2023,South Sandwich Islands Region,5.7,5,-54.54,-23.24
30/12/2023,Off West Coast of Northern Sumatra,5.6,37,2.53,93.15
29/12/2023,Myanmar,5.4,10,25.12,96.61
29/12/2023,Afghanistan-Tajikistan Border Region,3.8,186,37.15,71.57
29/12/2023,Mid Indian Ridge,4.8,14,-7.19,67.9
29/12/2023,"Southeast of Honshu, Japan",4.7,35,32.29,141.76
29/12/2023,Solomon Islands,5.1,98,-7.0,154.56
29/12/2023,Chagos Archipelago Region,4.5,83,-7.21,68.02
29/12/2023,Afghanistan-Tajikistan Border Region,3.5,158,36.92,71.42
29/12/2023,Mid Indian Ridge,5.5,56,-7.12,67.94
29/12/2023,Chagos Archipelago Region,4.5,4,-7.05,68.04
28/12/2023,Vanuatu Islands,5.0,212,-13.84,167.2
28/12/2023,"Hindu Kush Region,Afghanistan",3.5,150,35.79,70.34
28/12/2023,"Hindu Kush Region,Afghanistan",3.7,187,36.39,70.89
28/12/2023,"Mindanao, Philippines",5.1,10,38.75,126.63
28/12/2023,Near Coast of Nicaragua,4.8,10,12.42,-87.9
28/12/2023,"Near East Coast of Honshu, Japan",4.6,10,40.42,142.69
28/12/2023,Kuril Islands,4.5,46,44.22,149.23
28/12/2023,South Shetland Islands,5.3,10,-61.08,-53.81
28/12/2023,Kuril Islands,5.0,16,44.47,149.18
28/12/2023,Kuril Islands,6.3,38,44.59,148.96
28/12/2023,"Mindanao, Philippines",5.2,10,6.28,125.82
27/12/2023,Reykjanes Ridge,4.7,10,56.43,34.14
27/12/2023,"Java, Indonesia",5.3,10,-7.84,107.71
27/12/2023,Timor Region,5.1,45,-10.19,123.75
27/12/2023,Turkey,4.6,10,41.19,33.76
27/12/2023,Tajikistan-Xinjiang Border Region,3.6,129,38.69,74.02
27/12/2023,Tajikistan-Xinjiang Border Region,3.7,150,38.7,73.52
27/12/2023,"Lake Baykal Region, Russia",5.0,10,57.05,108.77
27/12/2023,Tajikistan-Xinjiang Border Region,3.9,70,37.76,74.76
27/12/2023,"Hindu Kush Region, Afghanistan",3.4,120,36.59,70.64
26/12/2023,E Russia-NE China Border Region,4.7,450,42.78,131.81
26/12/2023,"Southeast of Honshu, Japan",4.3,99,31.45,139.96
26/12/2023,"Eastern New Guinea Region, P.N.G",5.2,73,-5.18,145.22
26/12/2023,Owen Fracture Zone Region,4.7,13,15.1,55.22
26/12/2023,Philippine Islands Region,5.0,10,8.79,127.51
26/12/2023,North Atlantic Ocean,5.2,5,19.24,-68.7
26/12/2023,Southeast of Honshu Japan,4.9,426,30.39,138.58
25/12/2023,Eastern Kashmir,4.9,10,34.61,76.74
25/12/2023,"Unimak Island Region, Alaska",4.7,81,53.57,-164.43
25/12/2023,Tajikistan-Xinjiang Border Region,4.1,160,38.36,73.39
25/12/2023,Tajikistan,4.4,114,37.82,73.02
25/12/2023,"Near S. Coast of  Honshu, Japan",4.8,323,33.05,137.81
25/12/2023,"29 Km East of Harnai, Balchistan",3.3,32,30.06,68.23
25/12/2023,"Hindu Kush Region, Afghanistan",3.5,245,36.69,70.7
25/12/2023,Southwestern Kashmir,3.2,26,34.05,74.33
25/12/2023,Afghanistan-Tajikistan Border Region,3.9,140,36.34,71.2
24/12/2023,Tajikistan-Xinjiang Border Region,3.5,90,38.12,74.01
24/12/2023,"Hindu Kush Region,Afghanistan",3.9,150,35.92,69.37
24/12/2023,"Hindu Kush Region,Afghanistan",3.9,175,36.47,70.94
