country,region,populationMillions,footprint,biocapacity,earthsRequired
Albania,Other Europe,2.9,2.1,1.176752316,1.37148542
Angola,Africa,35.0,0.9,1.588191242,0.568028656
Argentina,South America,46.0,3.2,5.231663301,2.13255569
Australia,Asia-Pacific,26.1,5.8,11.02140059,3.825307442
Austria,EU-27,9.1,5.6,2.8937746,3.725720621
Belarus,Other Europe,9.4,4.6,3.702523221,3.031523216
Belgium,EU-27,11.7,6.7,1.161287077,4.429599104
Belize,Central America/Caribbean,0.4,7.5,3.303245105,4.986292995
Bhutan,Asia-Pacific,0.8,4.7,4.872815927,3.125757813
Bolivia,South America,12.0,2.8,13.2359069,1.835854245
Bosnia and Herzegovina,Other Europe,3.2,4.3,2.173852297,2.824462006
Botswana,Africa,2.4,2.2,2.902419861,1.471170615
Brazil,South America,215.4,2.6,8.177126233,1.689705582
Brunei Darussalam,Asia-Pacific,0.4,7.9,2.617611086,5.236751947
Bulgaria,EU-27,6.8,3.6,3.084292312,2.371932792
Cambodia,Asia-Pacific,17.2,1.3,1.01194657,0.886926912
Cameroon,Africa,27.9,1.0,1.426698897,0.691307767
Canada,North America,38.4,7.4,14.2410608,4.913630919
Central African Republic,Africa,5.0,1.1,6.411713946,0.739545909
Chad,Africa,17.4,1.4,1.442213862,0.910217147
Chile,South America,19.3,3.8,3.231436235,2.543897776
Colombia,South America,51.5,2.0,3.587634761,1.309160379
Congo,Africa,5.8,1.1,7.831302282,0.740522273
"Congo, Democratic Republic of",Africa,95.2,0.7,1.846246272,0.453835779
Costa Rica,Central America/Caribbean,5.2,2.6,1.615101928,1.720907437
Côte d'Ivoire,Africa,27.7,0.9,1.106372817,0.585853114
Croatia,Other Europe,4.1,3.7,2.5716721,2.457838376
Cuba,Central America/Caribbean,11.3,1.9,1.115083757,1.269381543
Czech Republic,EU-27,10.7,5.1,2.522005575,3.365758334
Denmark,EU-27,5.8,7.3,4.216546359,4.824787924
Dominica,Central America/Caribbean,0.1,2.7,1.004335122,1.779216966
Ecuador,South America,18.1,1.7,1.872750572,1.111290394
